Sr No,date,startup,vertical,city,investors,round,amount
1,2020-09-01,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000
2,2020-01-13,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394
3,2020-09-01,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,18358860
4,2020-02-01,https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000
5,2020-02-01,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000
6,2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000
7,2020-10-01,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000
8,2019-12-12,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000
9,2019-06-12,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000
10,2019-03-12,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000
11,2019-12-13,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000
12,2019-12-17,Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000
13,2019-12-16,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,30000000
15,2019-12-14,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000
16,2019-11-12,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000
17,2019-12-20,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000
18,2019-11-13,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000
19,2019-11-14,Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000
22,2019-11-18,Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000
23,2019-11-15,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000
24,2019-11-20,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265
25,2019-12-11,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000
26,2019-11-20,Clumio,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000
27,2019-11-11,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000
28,2019-11-19,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,220000000
29,2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000
32,2019-11-25,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000
33,2019-04-10,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000
34,2019-02-10,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000
36,2019-05-09,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000
37,2019-04-09,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000
38,2019-04-09,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000
39,2019-04-09,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000
40,2019-04-09,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,18000000
41,2019-04-09,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000
42,2019-04-09,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000
43,2019-04-09,GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000
44,2019-03-09,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000
45,2019-01-08,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000
46,2019-01-08,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000
48,2019-01-08,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000
49,2019-01-08,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000
50,2019-12-08,Meesho,E-Commerce,Bengaluru,Naspers,Series D,125000000
51,2019-08-13,Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,11000000
52,2019-08-13,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,51000000
53,2019-08-23,Zendrive,Automotive,San Francisco,XL Innovate,Series B,37000000
54,2019-08-23,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000
55,2019-08-23,Tala,FinTech,Santa Monica,RPS Ventures,Series D,110000000
56,2019-08-22,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000
57,2019-08-21,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,6590000
58,2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000
60,2019-08-19,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000
61,2019-08-27,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,3900000000
62,2019-02-07,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000
63,2019-02-07,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,2500000
64,2019-01-07,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000
65,2019-03-07,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000
66,2019-01-07,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,38080000
67,2019-04-07,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000
68,2019-10-07,"""BYJU\\'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000
69,2019-11-07,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000
70,2019-10-07,Ezyhaul,Tech,Singapore,Undisclosed,Series B,16000000
71,2019-10-07,Indus OS,Tech,Andheri,Ventureast,Series B,5750000
72,2019-10-07,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000
73,2019-09-07,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000
74,2019-08-07,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605
75,2019-05-06,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,51000000
76,2019-04-06,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000
78,2019-03-06,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,9000000
79,2019-04-06,BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000
80,2019-04-06,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000
81,2019-03-06,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000
83,2019-06-06,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000
84,2019-06-06,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,1510950000
85,2019-10-06,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200
86,2019-10-06,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000
87,2019-06-06,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,52000000
88,2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,3584000
89,2019-04-06,Leegality,Services,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000
91,2019-06-05,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,868600
93,2019-01-05,BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000
94,2019-02-05,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000
95,2019-05-28,Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series C,51000000
96,2019-05-28,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000
97,2019-05-30,GlowRoad,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000
98,2019-05-31,Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,5600000
99,2019-04-16,Kuvera,Finance,Bengaluru,Eight Roads,Series A,45000000
100,2019-12-04,Medlife,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000
101,2019-10-04,Kabadiwala,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665
102,2019-04-13,Tripoto,Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375
103,2019-12-04,Azah,Health and Wellness,Gurugram,Unnamed angel investors,Seed Funding,200000
104,2019-11-04,Setu,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,3500000
105,2019-10-04,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820
106,2019-10-04,Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495
107,2019-10-04,Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000
108,2019-11-04,CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000
109,2019-04-19,My Healthcare,E-commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000
111,2019-04-17,Shuttl,Transportation,Gurugram,New Atlantic Ventures,Venture Round,5000000
112,2019-04-17,Increff,Technology,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000
114,2019-08-02,Zilingo,Ecommerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000
115,2019-02-13,NanoClean Global,Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000
116,2018-02-14,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000
117,2019-03-01,CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000
118,2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000
119,2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000
120,2018-04-12,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,700000
121,2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000
122,2018-02-12,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000
123,2018-02-12,Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,572000
124,2018-04-12,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000
125,2018-06-12,ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000
126,2018-06-12,BuildSupply,"SaaS, Ecommerce",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000
127,2018-01-11,GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995
128,2018-03-11,Veritas Finance Ltd.,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000
129,2018-06-11,Meesho,Ecommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000
130,2018-08-11,Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,500000
131,2018-08-11,A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,1000000
132,2018-12-11,Blackbuck,Food Tech,"New York, Bengaluru",Tiger Global,Series A,1000000
133,2018-12-11,MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,1300000
134,2018-11-13,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000
135,2018-11-14,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000
136,2018-11-19,Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,300000000
137,2018-11-20,HealthifyMe,Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000
138,2018-11-21,Genius Corner,Education,Noida,Individual investors,Seed Funding,278000
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000
141,2018-11-23,Signzy,Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000
142,2018-11-24,Engineer.ai,Software,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000
143,2018-11-25,InCred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,42000000
144,2018-11-25,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,1700000
145,2018-01-10,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0
146,2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000
147,2018-04-10,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000
148,2018-05-10,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000
149,2018-11-10,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,4000000
150,2018-12-10,Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000
151,2018-12-10,LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series C,12000000
152,2018-01-09,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000
153,2018-03-09,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000
154,2018-03-09,Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000
156,2018-04-09,HappyGoEasy,Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0
157,2018-05-09,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000
158,2018-05-09,Mad Street Den,Technology,Chennai,KDDI\\xc2\\xa0,Private Equity,0
159,2018-06-09,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000
160,2018-10-09,MamaEarth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,4000000
161,2018-11-09,AutoGrid,Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000
162,2018-11-09,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000
163,2018-11-09,Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000
164,2018-12-09,Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000
165,2018-01-08,dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000
166,2018-01-08,HealthFin,Finance,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0
167,2018-02-08,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000
168,2018-03-08,ZiffyHomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,120000
170,2018-07-08,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000
171,2018-07-08,MakeMyTrip,Consumer Internet,Gurugram,MakeMyTrip Limited,Private Equity,10000000
172,2018-08-08,Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000
173,2018-08-08,Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000
174,2018-08-08,Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000
175,2018-09-08,quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000
176,2018-09-08,Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000
177,2018-08-13,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000
178,2018-08-13,Observe AI,Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000
180,2018-08-17,EazyDiner,Consumer Internet,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000
182,2018-08-20,RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000
183,2018-08-22,Pi Ventures,Technology,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000
184,2018-08-22,Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000
185,2018-08-26,ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000
186,2018-08-26,Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000
187,2018-08-27,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000
188,2018-08-28,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000
190,2018-01-07,Leena AI,Technology,Gurugram,Y Combinator,Seed/ Angel Funding,0
191,2018-02-07,Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000
192,2018-04-07,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000
194,2018-06-07,PolicyBazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000
195,2018-09-07,zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000
196,2018-09-07,Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000
197,2018-10-07,Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000
198,2018-10-07,iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,0
199,2018-10-07,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,5000000
200,2018-10-07,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000
201,2018-11-07,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000
202,2018-12-07,19th mile,IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000
203,2018-12-07,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000
204,2018-07-13,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000
205,2018-07-17,Ofbusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000
206,2018-07-17,Cars24,Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000
207,2018-07-18,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000
208,2018-07-19,Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000
210,2018-07-21,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000
212,2018-07-23,VTION,Technology,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000
213,2018-07-23,Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000
214,2018-07-24,kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,180000
215,2018-07-24,Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000
216,2018-07-25,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000
217,2018-07-25,Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000
218,2018-07-25,iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,2500000
219,2018-07-26,Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000
220,2018-07-26,Bitla Software,Technology,Bengaluru,MakeMyTrip,Private Equity,0
221,2018-07-26,TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000
222,2018-07-30,Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000
223,2018-07-30,Cure Fit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000
224,2018-07-31,Five Star Group,Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000
225,2018-07-31,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000
226,2018-01-06,CoinTribe,Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000
227,2018-04-06,Digiconectt,Technology,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,125000
228,2018-04-06,Kashmir Box,E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,0
229,2018-05-06,Crowdera,Finance,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,0
230,2018-05-06,Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed/ Angel Funding,0
231,2018-07-06,Annapurna Finance,Finance,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000
232,2018-07-06,Meesho,Consumer Internet,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000
233,2018-10-06,AyeFinance,Finance,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000
234,2018-11-06,Theranosis,Healthcare,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,0
235,2018-12-06,Alpha Capital,Finance,Mumbai,Alpha Capital,Private Equity,14800000
236,2018-12-06,eshakti,E-Commerce,Chennai,Paragon Partners,Private Equity,10100000
237,2018-12-06,Daily Ninja,Consumer Internet,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000
238,2018-06-13,NirogStreet,Healthcare,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,300000
239,2018-06-13,Nivesh,Finance,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,450000
240,2018-06-13,What\\xe2\\x80\\x99s Up Life,Consumer Internet,Gurugram,Rannvijay Singha,Seed/ Angel Funding,0
241,2018-06-14,HomeLane,Consumer Internet,Bengaluru,Brand Capital,Seed/ Angel Funding,3450000
242,2018-06-14,Network Intelligence,Technology,Mumbai,Helix Investments,Private Equity,4800000
243,2018-06-18,Tynor Othontics,Healthcare,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000
244,2018-06-18,Elucidata,IT,Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,1700000
245,2018-06-19,Chrysalis,Ed-Tech,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,0
246,2018-06-19,RentSher,Consumer Internet,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,1100000
247,2018-06-20,Drip capital,Finance,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000
248,2018-06-22,WickedRide,Consumer Internet,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000
249,2018-06-25,PolicyBazaar,Consumer Internet,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000
250,2018-06-25,HipBar,Consumer Internet,Bengaluru,Diageo India,Private Equity,4000000
251,2018-06-25,Sqqrl,Finance,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,1000000
252,2018-06-26,Paytm,Technology,Noida,One 97 Communications,Private Equity,8950000
253,2018-06-26,Sigtuple,Healthcare,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000
254,2018-06-27,Wow Express,Technology,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000
255,2018-06-28,Front Desk AI,Technology,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,1100000
256,2018-06-28,Edureka,Ed-Tech,Bengaluru,Leo Capital,Seed/ Angel Funding,2000000
257,2018-06-29,Numeroseven,Technology,Kolkatta,Shiva Gunapu & Others,Seed/ Angel Funding,0
258,2018-02-05,OpenTap,Finance,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000
259,2018-02-05,Bizongo,Consumer Internet,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000
260,2018-03-05,Disprz,IT,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000
262,2018-09-05,i3sysytems,Technology,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000
263,2018-11-05,Earth Food,Consumer Internet,Pune,Rairah Corporation,Seed / Angel Funding,949000
264,2018-05-14,Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000
